DATE,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyRelativeHumidity
2012-01-01 00:53:00,30,53,41.0
2012-01-01 01:53:00,32,50,50.0
2012-01-01 02:53:00,32,48,54.0
2012-01-01 03:53:00,32,47,56.0
2012-01-01 04:53:00,32,44,63.0
2012-01-01 05:53:00,30,43,60.0
2012-01-01 06:53:00,31,42,65.0
2012-01-01 07:53:00,30,41,65.0
2012-01-01 08:53:00,30,45,56.0
2012-01-01 09:53:00,31,49,50.0
2012-01-01 10:53:00,30,51,44.0
2012-01-01 11:53:00,29,53,40.0
2012-01-01 12:53:00,28,55,35.0
2012-01-01 13:53:00,28,58,32.0
2012-01-01 14:53:00,25,59,27.0
2012-01-01 15:53:00,22,59,24.0
2012-01-01 16:53:00,22,56,27.0
2012-01-01 17:53:00,24,51,35.0
2012-01-01 18:53:00,25,50,38.0
2012-01-01 19:53:00,26,48,42.0
2012-01-01 20:53:00,26,46,46.0
2012-01-01 21:53:00,26,45,48.0
2012-01-01 22:53:00,25,42,51.0
2012-01-01 23:53:00,24,41,51.0
2012-01-02 00:53:00,25,38,60.0
2012-01-02 01:53:00,24,39,55.0
2012-01-02 02:53:00,24,38,57.0
2012-01-02 03:53:00,26,38,62.0
2012-01-02 04:53:00,26,38,62.0
2012-01-02 05:53:00,26,37,65.0
2012-01-02 06:53:00,26,35,70.0
2012-01-02 07:53:00,26,36,67.0
2012-01-02 08:53:00,26,41,55.0
2012-01-02 09:53:00,21,45,39.0
2012-01-02 10:53:00,19,47,33.0
2012-01-02 11:53:00,16,49,27.0
2012-01-02 12:53:00,18,51,27.0
2012-01-02 13:53:00,18,51,27.0
2012-01-02 14:53:00,18,53,25.0
2012-01-02 15:53:00,18,54,24.0
2012-01-02 16:53:00,19,52,27.0
2012-01-02 17:53:00,19,45,35.0
2012-01-02 18:53:00,19,44,37.0
2012-01-02 19:53:00,22,44,41.0
2012-01-02 20:53:00,22,43,43.0
2012-01-02 21:53:00,20,40,45.0
2012-01-02 22:53:00,20,41,43.0
2012-01-02 23:53:00,20,33,58.0
2012-01-03 00:53:00,22,34,61.0
2012-01-03 01:53:00,21,35,57.0
2012-01-03 02:53:00,22,33,64.0
2012-01-03 03:53:00,23,33,66.0
2012-01-03 04:53:00,24,33,70.0
2012-01-03 05:53:00,23,31,72.0
2012-01-03 06:53:00,23,31,72.0
2012-01-03 07:53:00,23,30,75.0
2012-01-03 08:53:00,26,37,65.0
2012-01-03 09:53:00,24,45,44.0
2012-01-03 10:53:00,24,50,36.0
2012-01-03 11:53:00,24,53,32.0
2012-01-03 12:53:00,25,55,31.0
2012-01-03 13:53:00,25,57,29.0
2012-01-03 14:53:00,25,58,28.0
2012-01-03 15:53:00,26,58,29.0
2012-01-03 16:53:00,27,56,33.0
2012-01-03 17:53:00,26,53,35.0
2012-01-03 18:53:00,26,52,37.0
2012-01-03 19:53:00,25,50,38.0
2012-01-03 20:53:00,25,49,39.0
2012-01-03 21:53:00,25,49,39.0
2012-01-03 22:53:00,24,48,39.0
2012-01-03 23:53:00,25,46,44.0
2012-01-04 00:53:00,25,46,44.0
2012-01-04 01:53:00,26,43,51.0
2012-01-04 02:53:00,27,44,51.0
2012-01-04 03:53:00,30,42,62.0
2012-01-04 04:53:00,31,40,70.0
2012-01-04 05:53:00,32,39,76.0
2012-01-04 06:53:00,33,38,83.0
2012-01-04 07:53:00,33,38,83.0
2012-01-04 08:53:00,36,41,82.0
2012-01-04 09:53:00,35,46,66.0
2012-01-04 10:53:00,33,49,55.0
2012-01-04 11:53:00,31,55,40.0
2012-01-04 12:53:00,30,56,37.0
2012-01-04 13:53:00,31,58,36.0
2012-01-04 14:53:00,32,60,35.0
2012-01-04 15:53:00,33,61,35.0
2012-01-04 16:53:00,34,58,41.0
2012-01-04 17:53:00,33,52,49.0
2012-01-04 18:53:00,33,52,49.0
2012-01-04 19:53:00,33,51,50.0
2012-01-04 20:53:00,33,50,52.0
2012-01-04 21:53:00,33,48,56.0
2012-01-04 22:53:00,33,47,59.0
2012-01-04 23:53:00,33,42,71.0
2012-01-05 00:53:00,32,40,73.0
2012-01-05 01:53:00,32,39,76.0
2012-01-05 02:53:00,31,37,79.0
2012-01-05 03:53:00,32,39,76.0
2012-01-05 04:53:00,29,35,78.0
2012-01-05 05:53:00,29,34,82.0
2012-01-05 06:53:00,30,36,79.0
2012-01-05 07:53:00,29,35,78.0
2012-01-05 08:53:00,35,43,74.0
2012-01-05 09:53:00,35,49,59.0
2012-01-05 10:53:00,35,55,47.0
2012-01-05 11:53:00,34,60,38.0
2012-01-05 12:53:00,35,63,35.0
2012-01-05 13:53:00,33,65,31.0
2012-01-05 14:53:00,31,66,27.0
2012-01-05 15:53:00,32,66,28.0
2012-01-05 16:53:00,32,63,31.0
2012-01-05 17:53:00,32,58,38.0
2012-01-05 18:53:00,33,54,45.0
2012-01-05 19:53:00,34,55,45.0
2012-01-05 20:53:00,34,52,50.0
2012-01-05 21:53:00,34,48,58.0
2012-01-05 22:53:00,35,49,59.0
2012-01-05 23:53:00,35,46,66.0
2012-01-06 00:53:00,40,47,77.0
2012-01-06 01:53:00,40,47,77.0
2012-01-06 02:53:00,42,47,83.0
2012-01-06 03:53:00,42,48,80.0
2012-01-06 04:53:00,42,47,83.0
2012-01-06 05:53:00,42,45,90.0
2012-01-06 06:53:00,43,46,89.0
2012-01-06 07:53:00,44,46,93.0
2012-01-06 08:53:00,47,51,86.0
2012-01-06 09:53:00,51,59,75.0
2012-01-06 10:53:00,51,63,65.0
2012-01-06 11:53:00,51,67,57.0
2012-01-06 12:53:00,47,70,44.0
2012-01-06 13:53:00,46,72,40.0
2012-01-06 14:53:00,47,73,40.0
2012-01-06 15:53:00,46,72,40.0
2012-01-06 16:53:00,44,70,39.0
2012-01-06 17:53:00,42,68,39.0
2012-01-06 18:53:00,44,66,45.0
2012-01-06 19:53:00,46,63,54.0
