DATE,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyRelativeHumidity
2022-12-31 00:53:00,56,58,93
2022-12-31 01:53:00,56,58,93
2022-12-31 02:53:00,56,58,93
2022-12-31 03:53:00,56,57,96
2022-12-31 04:53:00,56,57,96
2022-12-31 05:53:00,56,58,93
2022-12-31 06:53:00,56,58,93
2022-12-31 07:53:00,55,58,90
2022-12-31 08:53:00,55,59,87
2022-12-31 09:53:00,54,59,83
2022-12-31 10:53:00,54,59,83
2022-12-31 11:53:00,55,61,81
2022-12-31 12:53:00,54,61,78
2022-12-31 13:53:00,53,61,75
2022-12-31 14:53:00,53,63,70
2022-12-31 15:53:00,52,62,70
2022-12-31 16:53:00,51,59,75
2022-12-31 17:53:00,51,57,81
2022-12-31 18:53:00,50,53,89
2022-12-31 19:53:00,49,51,92
2022-12-31 20:53:00,48,50,93
2022-12-31 21:53:00,47,48,96
2022-12-31 22:53:00,45,47,93
2022-12-31 23:53:00,46,48,93
2023-01-01 00:53:00,46,47,97
2023-01-01 01:53:00,46,48,93
2023-01-01 02:53:00,47,48,96
2023-01-01 03:53:00,47,49,93
2023-01-01 04:53:00,49,51,92
2023-01-01 05:53:00,50,52,93
2023-01-01 06:53:00,51,52,97
2023-01-01 07:53:00,54,56,93
2023-01-01 08:53:00,54,58,87
2023-01-01 09:53:00,56,61,84
2023-01-01 10:53:00,54,62,75
2023-01-01 11:53:00,54,65,68
2023-01-01 12:53:00,53,67,61
2023-01-01 13:53:00,53,70,55
2023-01-01 14:53:00,53,70,55
2023-01-01 15:53:00,52,70,53
2023-01-01 16:53:00,51,65,61
2023-01-01 17:53:00,51,64,63
2023-01-01 18:53:00,51,62,67
2023-01-01 19:53:00,51,61,70
2023-01-01 20:53:00,50,59,72
2023-01-01 21:53:00,49,57,74
2023-01-01 22:53:00,49,57,74
2023-01-01 23:53:00,49,57,74
2023-01-02 00:53:00,48,53,83
2023-01-02 01:53:00,48,55,77
2023-01-02 02:53:00,48,56,75
2023-01-02 03:53:00,50,56,81
2023-01-02 04:53:00,50,58,75
2023-01-02 05:53:00,51,60,72
2023-01-02 06:53:00,53,61,75
2023-01-02 07:53:00,56,64,75
2023-01-02 08:53:00,57,65,76
2023-01-02 09:53:00,58,67,73
2023-01-02 10:53:00,60,69,73
2023-01-02 11:53:00,61,71,71
2023-01-02 12:53:00,61,73,66
2023-01-02 13:53:00,62,73,69
2023-01-02 14:53:00,61,72,68
2023-01-02 15:53:00,62,71,73
2023-01-02 16:53:00,63,68,84
2023-01-02 17:53:00,62,68,81
2023-01-02 18:53:00,59,68,73
2023-01-02 19:53:00,62,69,78
2023-01-02 20:53:00,62,69,78
2023-01-02 21:53:00,61,68,78
2023-01-02 22:53:00,63,67,87
2023-01-02 23:53:00,64,68,87
2023-01-03 00:53:00,64,69,84
2023-01-03 01:53:00,64,70,82
2023-01-03 02:53:00,62,71,73
2023-01-03 03:53:00,61,71,71
2023-01-03 04:53:00,61,71,71
2023-01-03 05:53:00,62,70,76
2023-01-03 06:53:00,63,67,87
2023-01-03 07:53:00,62,67,84
2023-01-03 08:53:00,63,68,84
2023-01-03 09:53:00,57,60,90
2023-01-03 10:53:00,57,60,90
2023-01-03 11:53:00,57,60,90
2023-01-03 12:53:00,57,59,93
2023-01-03 13:53:00,56,59,90
2023-01-03 14:53:00,57,60,90
2023-01-03 15:53:00,56,61,84
2023-01-03 16:53:00,55,60,84
2023-01-03 17:53:00,55,59,87
2023-01-03 18:53:00,55,59,87
2023-01-03 19:53:00,57,62,84
2023-01-03 20:53:00,59,63,87
2023-01-03 21:53:00,60,64,87
2023-01-03 22:53:00,61,64,90
2023-01-03 23:53:00,61,63,93
2023-01-04 00:53:00,61,64,90
2023-01-04 01:53:00,61,63,93
2023-01-04 02:53:00,60,62,93
2023-01-04 03:53:00,61,64,90
2023-01-04 04:53:00,57,62,84
2023-01-04 05:53:00,49,60,67
2023-01-04 06:53:00,47,58,67
2023-01-04 07:53:00,48,57,72
2023-01-04 08:53:00,47,58,67
2023-01-04 09:53:00,42,60,52
2023-01-04 10:53:00,39,60,46
2023-01-04 11:53:00,40,63,43
2023-01-04 12:53:00,36,64,35
2023-01-04 13:53:00,36,65,34
2023-01-04 14:53:00,32,64,30
2023-01-04 15:53:00,34,62,35
2023-01-04 16:53:00,34,59,39
2023-01-04 17:53:00,35,57,44
2023-01-04 18:53:00,34,56,44
2023-01-04 19:53:00,34,54,47
2023-01-04 20:53:00,36,51,56
2023-01-04 21:53:00,36,48,63
2023-01-04 22:53:00,36,47,66
2023-01-04 23:53:00,36,46,68
2023-01-05 00:53:00,35,45,68
2023-01-05 01:53:00,35,42,76
2023-01-05 02:53:00,35,40,83
2023-01-05 03:53:00,34,38,86
2023-01-05 04:53:00,33,37,86
2023-01-05 05:53:00,33,37,86
2023-01-05 06:53:00,33,36,89
2023-01-05 07:53:00,36,41,82
2023-01-05 08:53:00,36,45,71
2023-01-05 09:53:00,35,50,57
2023-01-05 10:53:00,30,53,41
2023-01-05 11:53:00,29,54,38
2023-01-05 12:53:00,29,55,37
2023-01-05 13:53:00,25,55,31
2023-01-05 14:53:00,22,54,29
2023-01-05 15:53:00,22,53,30
2023-01-05 16:53:00,22,51,32
2023-01-05 17:53:00,23,50,35
2023-01-05 18:53:00,24,50,36
2023-01-05 19:53:00,25,50,38
2023-01-05 20:53:00,26,49,41
2023-01-05 21:53:00,27,48,44
2023-01-05 22:53:00,27,46,47
2023-01-05 23:53:00,28,44,53
2023-01-06 00:53:00,28,41,60
2023-01-06 01:53:00,28,40,63
2023-01-06 02:53:00,27,36,70
2023-01-06 03:53:00,27,35,72
2023-01-06 04:53:00,27,34,75
2023-01-06 05:53:00,27,32,82
2023-01-06 06:53:00,28,32,85
2023-01-06 07:53:00,30,34,85
2023-01-06 08:53:00,29,42,60
2023-01-06 09:53:00,28,46,50
2023-01-06 10:53:00,27,48,44
2023-01-06 11:53:00,26,51,38
2023-01-06 12:53:00,25,50,38
2023-01-06 13:53:00,25,52,35
2023-01-06 14:53:00,25,53,34
2023-01-06 15:53:00,25,54,33
2023-01-06 16:53:00,24,51,35
2023-01-06 17:53:00,25,50,38
2023-01-06 18:53:00,27,46,47
2023-01-06 19:53:00,29,44,55
2023-01-06 20:53:00,29,43,58
2023-01-06 21:53:00,29,41,62
2023-01-06 22:53:00,30,40,68
2023-01-06 23:53:00,30,42,62
2023-01-07 00:53:00,30,42,63
2023-01-07 01:53:00,34,42,73
2023-01-07 02:53:00,34,43,70
2023-01-07 03:53:00,34,43,70
2023-01-07 04:53:00,35,43,73
2023-01-07 05:53:00,35,44,71
2023-01-07 06:53:00,36,43,75
2023-01-07 07:53:00,37,42,84
2023-01-07 08:53:00,39,43,87
2023-01-07 09:53:00,41,45,86
2023-01-07 10:25:00,41,45,87
2023-01-07 10:53:00,41,46,83
2023-01-07 11:53:00,41,47,80
2023-01-07 12:28:00,43,46,87
2023-01-07 12:53:00,43,48,82
2023-01-07 13:53:00,43,48,82
2023-01-07 14:53:00,43,48,82
2023-01-07 15:45:00,45,48,87
2023-01-07 15:53:00,45,49,85
2023-01-07 16:53:00,45,49,85
2023-01-07 17:12:00,45,48,87
2023-01-07 17:23:00,45,48,87
2023-01-07 17:37:00,45,48,87
2023-01-07 17:53:00,45,49,85
