DATE,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyRelativeHumidity
2013-01-01 00:44:00,39.0,41,93.0
2013-01-01 00:56:00,40.0,41,96.0
2013-01-01 01:08:00,39.0,39,100.0
2013-01-01 01:14:00,39.0,39,100.0
2013-01-01 01:24:00,39.0,39,100.0
2013-01-01 01:34:00,39.0,39,100.0
2013-01-01 01:56:00,40.0,40,100.0
2013-01-01 02:08:00,39.0,39,100.0
2013-01-01 02:13:00,39.0,39,100.0
2013-01-01 02:22:00,39.0,39,100.0
2013-01-01 02:35:00,39.0,39,100.0
2013-01-01 02:56:00,41.0,41,100.0
2013-01-01 03:06:00,41.0,41,100.0
2013-01-01 03:19:00,41.0,41,100.0
2013-01-01 03:56:00,41.0,41,100.0
2013-01-01 04:26:00,43.0,43,100.0
2013-01-01 04:56:00,42.0,42,100.0
2013-01-01 05:56:00,42.0,42,100.0
2013-01-01 06:03:00,43.0,43,100.0
2013-01-01 06:10:00,43.0,43,100.0
2013-01-01 06:18:00,43.0,43,100.0
2013-01-01 06:40:00,43.0,43,100.0
2013-01-01 06:56:00,42.0,42,100.0
2013-01-01 07:03:00,43.0,43,100.0
2013-01-01 07:12:00,43.0,43,100.0
2013-01-01 07:19:00,43.0,43,100.0
2013-01-01 07:56:00,43.0,43,100.0
2013-01-01 08:10:00,43.0,43,100.0
2013-01-01 08:16:00,43.0,43,100.0
2013-01-01 08:56:00,43.0,43,100.0
2013-01-01 09:07:00,43.0,43,100.0
2013-01-01 09:37:00,43.0,43,100.0
2013-01-01 09:56:00,42.0,42,100.0
2013-01-01 10:13:00,43.0,43,100.0
2013-01-01 10:15:00,43.0,43,100.0
2013-01-01 10:25:00,43.0,43,100.0
2013-01-01 10:56:00,41.0,42,97.0
2013-01-01 11:22:00,39.0,41,93.0
2013-01-01 11:56:00,40.0,41,96.0
2013-01-01 12:21:00,39.0,41,93.0
2013-01-01 12:56:00,39.0,41,92.0
2013-01-01 13:56:00,39.0,40,96.0
2013-01-01 14:56:00,39.0,40,96.0
2013-01-01 15:03:00,39.0,39,100.0
