DATE,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyRelativeHumidity
2013-01-01 00:55:00,13,18,81.0
2013-01-01 01:55:00,13,18,81.0
2013-01-01 02:55:00,12,17,80.0
2013-01-01 03:55:00,12,17,80.0
2013-01-01 04:51:00,13,17,84.0
2013-01-01 05:55:00,13,18,81.0
2013-01-01 06:55:00,13,18,81.0
2013-01-01 07:55:00,13,17,84.0
2013-01-01 08:55:00,15,19,84.0
2013-01-01 10:55:00,13,24,62.0
2013-01-01 11:55:00,14,25,63.0
2013-01-01 12:55:00,15,27,61.0
2013-01-01 13:55:00,16,29,58.0
2013-01-01 14:55:00,17,29,61.0
2013-01-01 16:55:00,15,27,61.0
2013-01-01 17:55:00,14,24,65.0
2013-01-01 18:55:00,14,22,71.0
2013-01-01 19:55:00,13,20,74.0
2013-01-01 20:55:00,12,19,74.0
2013-01-01 22:55:00,11,18,74.0
2013-01-01 23:55:00,11,17,77.0
2013-01-02 00:55:00,10,16,77.0
2013-01-02 01:55:00,9,13,84.0
2013-01-02 02:55:00,9,14,80.0
2013-01-02 04:55:00,6,12,77.0
2013-01-02 05:55:00,6,12,77.0
2013-01-02 06:55:00,6,12,77.0
2013-01-02 07:55:00,6,12,77.0
2013-01-02 08:55:00,8,15,74.0
2013-01-02 10:55:00,11,21,65.0
2013-01-02 11:55:00,12,23,63.0
2013-01-02 12:55:00,13,25,60.0
2013-01-02 13:55:00,13,27,55.0
2013-01-02 14:55:00,13,29,51.0
2013-01-02 15:55:00,13,30,49.0
2013-01-02 16:55:00,13,27,55.0
2013-01-02 17:55:00,13,23,65.0
2013-01-02 18:55:00,13,22,68.0
2013-01-02 19:55:00,13,21,71.0
2013-01-02 20:55:00,12,20,71.0
2013-01-02 22:55:00,10,18,71.0
2013-01-02 23:55:00,10,16,77.0
2013-01-03 00:55:00,9,16,74.0
2013-01-03 01:55:00,8,15,74.0
2013-01-03 02:55:00,8,13,81.0
2013-01-03 03:55:00,8,13,81.0
2013-01-03 04:55:00,7,12,80.0
2013-01-03 05:55:00,7,13,77.0
2013-01-03 06:55:00,6,12,77.0
2013-01-03 07:55:00,7,12,80.0
2013-01-03 08:55:00,8,16,71.0
2013-01-03 10:55:00,11,21,65.0
2013-01-03 11:55:00,12,24,60.0
2013-01-03 12:55:00,13,25,60.0
2013-01-03 13:55:00,14,28,56.0
2013-01-03 14:55:00,14,30,51.0
2013-01-03 16:55:00,15,28,58.0
2013-01-03 17:55:00,14,24,65.0
2013-01-03 18:55:00,14,24,65.0
2013-01-03 19:55:00,14,22,71.0
2013-01-03 20:55:00,14,21,74.0
2013-01-03 21:55:00,13,20,74.0
2013-01-03 22:55:00,12,18,77.0
2013-01-03 23:55:00,11,18,74.0
2013-01-04 00:55:00,10,16,77.0
2013-01-04 01:55:00,10,15,80.0
2013-01-04 02:55:00,9,14,80.0
2013-01-04 03:55:00,8,13,81.0
2013-01-04 04:55:00,10,14,84.0
2013-01-04 05:55:00,10,14,84.0
2013-01-04 06:55:00,8,13,81.0
2013-01-04 07:55:00,10,13,88.0
2013-01-04 08:55:00,13,16,88.0
2013-01-04 09:55:00,14,19,81.0
2013-01-04 10:55:00,14,22,71.0
2013-01-04 11:55:00,14,25,63.0
2013-01-04 12:55:00,15,30,54.0
2013-01-04 13:55:00,16,31,54.0
2013-01-04 14:55:00,17,32,54.0
2013-01-04 16:55:00,17,30,58.0
2013-01-04 17:55:00,17,27,66.0
2013-01-04 18:55:00,17,26,69.0
2013-01-04 19:55:00,16,24,71.0
2013-01-04 20:55:00,16,23,74.0
2013-01-04 22:55:00,15,21,78.0
2013-01-04 23:55:00,13,19,77.0
2013-01-05 00:55:00,12,18,77.0
2013-01-05 01:55:00,12,17,80.0
2013-01-05 02:55:00,12,16,84.0
2013-01-05 04:55:00,12,16,84.0
2013-01-05 05:55:00,12,17,80.0
2013-01-05 06:55:00,11,15,84.0
2013-01-05 07:55:00,11,16,80.0
2013-01-05 08:55:00,13,18,81.0
2013-01-05 10:55:00,16,25,69.0
2013-01-05 11:55:00,16,28,60.0
2013-01-05 12:55:00,17,30,58.0
2013-01-05 13:55:00,17,31,56.0
2013-01-05 14:55:00,18,31,59.0
2013-01-05 16:55:00,18,31,59.0
2013-01-05 17:55:00,19,30,64.0
2013-01-05 18:55:00,19,29,66.0
2013-01-05 19:55:00,19,28,69.0
2013-01-05 20:55:00,19,28,69.0
2013-01-05 22:55:00,19,28,69.0
2013-01-05 23:55:00,19,26,75.0
2013-01-06 00:55:00,18,23,81.0
2013-01-06 01:55:00,17,23,78.0
2013-01-06 02:55:00,17,23,78.0
2013-01-06 04:55:00,17,23,78.0
2013-01-06 05:55:00,18,24,77.0
2013-01-06 06:55:00,18,24,77.0
2013-01-06 07:55:00,18,23,81.0
2013-01-06 08:55:00,19,25,78.0
2013-01-06 10:55:00,20,27,75.0
2013-01-06 11:55:00,20,29,69.0
2013-01-06 12:55:00,20,31,64.0
2013-01-06 13:55:00,20,32,61.0
2013-01-06 14:55:00,21,34,59.0
2013-01-06 15:55:00,21,33,61.0
2013-01-06 16:55:00,20,34,56.0
2013-01-06 17:55:00,21,32,64.0
2013-01-06 18:55:00,21,31,67.0
2013-01-06 19:55:00,21,28,75.0
2013-01-06 20:55:00,21,29,72.0
2013-01-06 22:55:00,19,23,85.0
2013-01-06 23:55:00,18,23,81.0
2013-01-07 00:55:00,18,22,85.0
2013-01-07 01:55:00,16,20,85.0
