DATE,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyRelativeHumidity
2012-01-01 00:51:00,34.0,39,82.0
2012-01-01 01:51:00,34.0,39,82.0
2012-01-01 02:51:00,33.0,37,86.0
2012-01-01 03:51:00,33.0,37,86.0
2012-01-01 04:51:00,33.0,37,86.0
2012-01-01 05:51:00,34.0,37,89.0
2012-01-01 06:51:00,34.0,37,89.0
2012-01-01 07:51:00,34.0,39,82.0
2012-01-01 08:51:00,35.0,40,83.0
2012-01-01 09:51:00,36.0,42,79.0
2012-01-01 10:51:00,37.0,42,82.0
2012-01-01 11:51:00,38.0,46,73.0
2012-01-01 12:51:00,40.0,47,77.0
2012-01-01 13:51:00,42.0,50,74.0
2012-01-01 14:51:00,40.0,47,77.0
2012-01-01 15:51:00,35.0,44,71.0
2012-01-01 16:51:00,33.0,41,73.0
2012-01-01 17:51:00,30.0,38,73.0
2012-01-01 18:51:00,30.0,37,76.0
2012-01-01 19:51:00,29.0,35,78.0
2012-01-01 20:51:00,29.0,32,88.0
2012-01-01 21:51:00,25.0,31,79.0
2012-01-01 22:51:00,21.0,31,67.0
2012-01-01 23:51:00,20.0,30,66.0
2012-01-02 00:51:00,20.0,29,69.0
2012-01-02 01:51:00,22.0,29,75.0
2012-01-02 02:51:00,23.0,28,81.0
2012-01-02 03:51:00,24.0,28,85.0
2012-01-02 04:51:00,22.0,28,78.0
2012-01-02 05:51:00,22.0,28,78.0
2012-01-02 06:51:00,21.0,28,75.0
2012-01-02 07:51:00,20.0,28,72.0
2012-01-02 08:51:00,21.0,28,75.0
2012-01-02 09:51:00,22.0,28,78.0
2012-01-02 10:51:00,22.0,28,78.0
2012-01-02 11:51:00,20.0,29,69.0
2012-01-02 12:51:00,23.0,27,85.0
2012-01-02 13:51:00,22.0,27,81.0
2012-01-02 14:51:00,20.0,27,75.0
2012-01-02 15:51:00,19.0,26,75.0
2012-01-02 16:51:00,20.0,25,81.0
2012-01-02 17:51:00,21.0,25,85.0
2012-01-02 18:51:00,20.0,23,88.0
2012-01-02 19:51:00,20.0,23,88.0
2012-01-02 20:51:00,20.0,23,88.0
2012-01-02 21:51:00,20.0,23,88.0
2012-01-02 22:51:00,16.0,23,74.0
2012-01-02 23:51:00,13.0,23,65.0
2012-01-03 00:51:00,9.0,21,59.0
2012-01-03 01:51:00,9.0,20,62.0
2012-01-03 02:51:00,11.0,20,68.0
2012-01-03 03:51:00,13.0,19,77.0
2012-01-03 04:51:00,13.0,19,77.0
2012-01-03 05:51:00,8.0,18,65.0
2012-01-03 06:51:00,6.0,17,62.0
2012-01-03 07:51:00,6.0,17,62.0
2012-01-03 08:51:00,5.0,16,62.0
2012-01-03 09:51:00,6.0,17,62.0
2012-01-03 10:51:00,7.0,18,62.0
2012-01-03 11:51:00,4.0,19,51.0
2012-01-03 12:51:00,5.0,19,54.0
2012-01-03 13:51:00,8.0,15,74.0
2012-01-03 14:51:00,5.0,13,70.0
2012-01-03 15:51:00,3.0,13,64.0
2012-01-03 16:51:00,3.0,11,70.0
2012-01-03 17:51:00,4.0,11,73.0
2012-01-03 18:51:00,5.0,10,80.0
2012-01-03 19:51:00,6.0,10,84.0
2012-01-03 20:51:00,6.0,10,84.0
2012-01-03 21:51:00,5.0,9,84.0
2012-01-03 22:51:00,5.0,10,80.0
2012-01-03 23:51:00,5.0,10,80.0
2012-01-04 00:51:00,5.0,10,80.0
2012-01-04 01:51:00,7.0,12,80.0
2012-01-04 02:51:00,7.0,13,77.0
2012-01-04 03:51:00,8.0,14,77.0
2012-01-04 04:51:00,8.0,14,77.0
2012-01-04 05:51:00,9.0,15,77.0
2012-01-04 06:51:00,9.0,15,77.0
2012-01-04 07:51:00,9.0,16,74.0
2012-01-04 08:51:00,9.0,18,68.0
2012-01-04 09:51:00,10.0,20,65.0
2012-01-04 10:51:00,9.0,23,55.0
2012-01-04 11:51:00,10.0,25,53.0
2012-01-04 12:51:00,11.0,25,55.0
2012-01-04 13:51:00,13.0,26,57.0
2012-01-04 14:51:00,13.0,27,55.0
2012-01-04 15:51:00,13.0,27,55.0
2012-01-04 16:51:00,13.0,26,57.0
2012-01-04 17:51:00,13.0,25,60.0
2012-01-04 18:51:00,14.0,25,63.0
2012-01-04 19:51:00,14.0,25,63.0
2012-01-04 20:51:00,15.0,26,63.0
2012-01-04 21:51:00,16.0,27,63.0
2012-01-04 22:51:00,18.0,27,69.0
2012-01-04 23:51:00,19.0,27,72.0
2012-01-05 00:51:00,19.0,27,72.0
2012-01-05 01:51:00,20.0,28,72.0
2012-01-05 02:51:00,22.0,29,75.0
2012-01-05 03:51:00,23.0,29,78.0
2012-01-05 04:51:00,24.0,29,82.0
2012-01-05 05:51:00,24.0,30,79.0
2012-01-05 06:51:00,24.0,30,79.0
2012-01-05 07:51:00,25.0,30,82.0
2012-01-05 08:51:00,25.0,30,82.0
2012-01-05 09:51:00,24.0,30,79.0
2012-01-05 10:51:00,24.0,30,79.0
2012-01-05 11:51:00,24.0,31,76.0
2012-01-05 12:51:00,25.0,32,75.0
2012-01-05 13:51:00,25.0,35,67.0
2012-01-05 14:51:00,25.0,36,64.0
2012-01-05 15:51:00,25.0,36,64.0
2012-01-05 16:51:00,25.0,36,64.0
2012-01-05 17:51:00,25.0,35,67.0
2012-01-05 18:51:00,25.0,35,67.0
2012-01-05 19:51:00,24.0,34,67.0
2012-01-05 20:51:00,23.0,34,64.0
2012-01-05 21:51:00,22.0,35,59.0
2012-01-05 22:51:00,22.0,35,59.0
2012-01-05 23:51:00,22.0,36,57.0
2012-01-06 00:51:00,23.0,37,57.0
2012-01-06 01:51:00,25.0,39,57.0
2012-01-06 02:51:00,26.0,39,60.0
2012-01-06 03:51:00,27.0,39,62.0
2012-01-06 04:51:00,27.0,39,62.0
2012-01-06 05:51:00,27.0,39,62.0
2012-01-06 06:51:00,27.0,39,62.0
2012-01-06 07:51:00,27.0,38,65.0
2012-01-06 08:51:00,28.0,40,63.0
2012-01-06 09:51:00,28.0,43,56.0
2012-01-06 10:51:00,29.0,44,55.0
2012-01-06 11:51:00,30.0,46,54.0
2012-01-06 12:51:00,31.0,48,52.0
2012-01-06 13:51:00,32.0,50,50.0
2012-01-06 14:51:00,32.0,52,47.0
2012-01-06 15:51:00,33.0,53,47.0
2012-01-06 16:51:00,32.0,51,48.0
2012-01-06 17:51:00,32.0,49,52.0
2012-01-06 18:51:00,32.0,48,54.0
2012-01-06 19:51:00,31.0,47,54.0
2012-01-06 20:51:00,30.0,45,56.0
2012-01-06 21:51:00,30.0,45,56.0
2012-01-06 22:51:00,30.0,45,56.0
2012-01-06 23:51:00,29.0,46,51.0
2012-01-07 00:51:00,30.0,46,54.0
2012-01-07 01:51:00,30.0,45,56.0
2012-01-07 02:51:00,29.0,44,55.0
2012-01-07 03:51:00,29.0,43,58.0
2012-01-07 04:51:00,29.0,43,58.0
2012-01-07 05:51:00,30.0,42,62.0
2012-01-07 06:51:00,31.0,42,65.0
2012-01-07 07:51:00,31.0,40,70.0
2012-01-07 08:51:00,32.0,42,68.0
2012-01-07 09:51:00,33.0,43,68.0
