DATE,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyRelativeHumidity
2015-01-01 00:53:00,5.0,20,52.0
2015-01-01 01:53:00,6.0,20,55.0
2015-01-01 02:53:00,6.0,20,55.0
2015-01-01 03:53:00,5.0,20,52.0
2015-01-01 04:53:00,5.0,20,52.0
2015-01-01 05:53:00,5.0,20,52.0
2015-01-01 06:53:00,6.0,20,55.0
2015-01-01 07:53:00,6.0,20,55.0
2015-01-01 08:53:00,6.0,20,55.0
2015-01-01 09:53:00,7.0,21,54.0
2015-01-01 10:53:00,7.0,23,50.0
2015-01-01 11:53:00,7.0,25,46.0
2015-01-01 12:53:00,8.0,28,43.0
2015-01-01 13:53:00,8.0,30,39.0
2015-01-01 14:53:00,10.0,32,40.0
2015-01-01 15:53:00,10.0,32,40.0
2015-01-01 16:53:00,10.0,31,42.0
2015-01-01 17:53:00,10.0,31,42.0
2015-01-01 18:53:00,11.0,31,43.0
2015-01-01 19:53:00,13.0,31,47.0
2015-01-01 20:53:00,13.0,30,49.0
2015-01-01 21:53:00,13.0,30,49.0
2015-01-01 22:53:00,14.0,30,51.0
2015-01-01 23:53:00,14.0,30,51.0
2015-01-02 00:53:00,15.0,31,52.0
2015-01-02 01:53:00,16.0,31,54.0
2015-01-02 02:53:00,17.0,31,56.0
2015-01-02 03:53:00,17.0,31,56.0
2015-01-02 04:53:00,17.0,31,56.0
2015-01-02 05:53:00,18.0,31,59.0
2015-01-02 06:53:00,17.0,31,56.0
2015-01-02 07:53:00,14.0,30,51.0
2015-01-02 08:53:00,14.0,30,51.0
2015-01-02 09:53:00,15.0,32,50.0
2015-01-02 10:53:00,16.0,33,49.0
2015-01-02 11:53:00,17.0,34,50.0
2015-01-02 12:53:00,17.0,36,46.0
2015-01-02 13:53:00,17.0,36,46.0
2015-01-02 14:53:00,16.0,36,44.0
2015-01-02 15:53:00,17.0,36,46.0
2015-01-02 16:53:00,17.0,35,48.0
2015-01-02 17:53:00,17.0,33,52.0
2015-01-02 18:53:00,19.0,30,64.0
2015-01-02 19:53:00,20.0,29,69.0
2015-01-02 20:53:00,20.0,28,72.0
2015-01-02 21:53:00,22.0,30,72.0
2015-01-02 22:53:00,22.0,29,75.0
2015-01-02 23:53:00,21.0,27,78.0
2015-01-03 00:53:00,22.0,27,81.0
2015-01-03 01:53:00,23.0,29,78.0
2015-01-03 02:53:00,23.0,30,75.0
2015-01-03 03:53:00,24.0,29,82.0
2015-01-03 04:53:00,26.0,32,79.0
2015-01-03 05:53:00,26.0,33,75.0
2015-01-03 06:53:00,27.0,33,78.0
2015-01-03 07:53:00,28.0,34,79.0
2015-01-03 08:53:00,29.0,34,82.0
2015-01-03 09:53:00,29.0,34,82.0
2015-01-03 10:53:00,30.0,33,89.0
2015-01-03 11:53:00,30.0,33,89.0
2015-01-03 12:53:00,30.0,34,85.0
2015-01-03 13:53:00,31.0,34,89.0
2015-01-03 14:53:00,31.0,34,89.0
2015-01-03 15:53:00,32.0,35,89.0
2015-01-03 16:53:00,33.0,36,89.0
2015-01-03 17:53:00,34.0,36,93.0
2015-01-03 18:53:00,33.0,37,86.0
2015-01-03 19:53:00,34.0,37,89.0
2015-01-03 20:53:00,33.0,36,89.0
2015-01-03 21:53:00,34.0,37,89.0
2015-01-03 22:53:00,34.0,37,89.0
2015-01-03 23:53:00,34.0,36,93.0
2015-01-04 00:53:00,34.0,36,93.0
2015-01-04 01:53:00,34.0,36,93.0
2015-01-04 02:53:00,34.0,36,93.0
2015-01-04 03:53:00,33.0,36,89.0
2015-01-04 04:53:00,33.0,36,89.0
2015-01-04 05:53:00,33.0,35,93.0
2015-01-04 06:53:00,33.0,35,93.0
2015-01-04 07:53:00,33.0,36,89.0
2015-01-04 08:53:00,33.0,36,89.0
2015-01-04 09:53:00,34.0,37,89.0
2015-01-04 10:53:00,33.0,37,86.0
2015-01-04 11:53:00,31.0,38,76.0
2015-01-04 12:53:00,31.0,37,79.0
2015-01-04 13:53:00,29.0,37,73.0
2015-01-04 14:53:00,29.0,36,76.0
2015-01-04 15:53:00,28.0,36,73.0
2015-01-04 16:53:00,28.0,33,82.0
2015-01-04 17:53:00,25.0,31,79.0
2015-01-04 18:53:00,22.0,30,72.0
2015-01-04 19:53:00,19.0,27,72.0
2015-01-04 20:53:00,14.0,24,65.0
2015-01-04 21:53:00,12.0,23,63.0
2015-01-04 22:53:00,10.0,22,60.0
2015-01-04 23:53:00,10.0,21,62.0
2015-01-05 00:53:00,10.0,20,65.0
2015-01-05 01:53:00,5.0,20,52.0
2015-01-05 02:53:00,7.0,18,62.0
2015-01-05 03:53:00,3.0,16,56.0
2015-01-05 04:53:00,-3.0,12,51.0
2015-01-05 05:53:00,-3.0,10,55.0
2015-01-05 06:53:00,-3.0,9,58.0
2015-01-05 07:53:00,-3.0,8,60.0
2015-01-05 08:53:00,-3.0,8,60.0
2015-01-05 09:53:00,-2.0,9,61.0
