DATE,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyRelativeHumidity
2012-01-01 00:53:00,11,21,65.0
2012-01-01 01:53:00,10,23,57.0
2012-01-01 02:53:00,9,24,52.0
2012-01-01 03:53:00,8,24,50.0
2012-01-01 04:53:00,8,23,53.0
2012-01-01 05:53:00,9,20,62.0
2012-01-01 06:53:00,12,19,74.0
2012-01-01 07:53:00,13,20,74.0
2012-01-01 08:53:00,12,24,60.0
2012-01-01 09:53:00,13,30,49.0
2012-01-01 10:53:00,15,30,54.0
2012-01-01 11:53:00,17,31,56.0
2012-01-01 12:53:00,15,33,47.0
2012-01-01 13:53:00,15,36,42.0
2012-01-01 14:53:00,16,35,46.0
2012-01-01 15:53:00,15,33,47.0
2012-01-01 16:53:00,15,29,56.0
2012-01-01 17:53:00,14,28,56.0
2012-01-01 18:53:00,15,24,68.0
2012-01-01 19:53:00,13,24,62.0
2012-01-01 20:53:00,11,22,63.0
2012-01-01 21:53:00,12,20,71.0
2012-01-01 22:53:00,12,20,71.0
2012-01-01 23:53:00,14,22,71.0
2012-01-02 00:53:00,14,22,71.0
2012-01-02 01:53:00,14,21,74.0
2012-01-02 02:53:00,14,22,71.0
2012-01-02 03:53:00,13,21,71.0
2012-01-02 04:53:00,14,22,71.0
2012-01-02 05:53:00,13,23,65.0
2012-01-02 06:53:00,12,22,66.0
2012-01-02 07:53:00,14,27,58.0
2012-01-02 08:53:00,20,31,64.0
2012-01-02 09:53:00,23,41,49.0
2012-01-02 10:53:00,23,44,43.0
2012-01-02 11:53:00,21,48,34.0
2012-01-02 12:53:00,20,50,30.0
2012-01-02 13:53:00,18,51,27.0
2012-01-02 14:53:00,19,51,28.0
2012-01-02 15:53:00,23,50,35.0
2012-01-02 16:53:00,24,43,47.0
2012-01-02 17:53:00,25,38,60.0
2012-01-02 18:53:00,23,34,64.0
2012-01-02 19:53:00,19,42,40.0
2012-01-02 20:53:00,16,43,34.0
2012-01-02 21:53:00,18,40,41.0
2012-01-02 22:53:00,17,41,38.0
2012-01-02 23:53:00,16,43,34.0
2012-01-03 00:53:00,15,44,31.0
2012-01-03 01:53:00,16,41,36.0
2012-01-03 02:53:00,17,39,41.0
2012-01-03 03:53:00,16,42,35.0
2012-01-03 04:53:00,16,43,34.0
2012-01-03 05:53:00,16,42,35.0
2012-01-03 06:53:00,16,43,34.0
2012-01-03 07:53:00,14,50,24.0
2012-01-03 08:53:00,15,50,25.0
2012-01-03 09:53:00,15,49,26.0
2012-01-03 10:53:00,19,43,38.0
2012-01-03 11:53:00,21,42,43.0
2012-01-03 12:53:00,20,47,34.0
2012-01-03 13:53:00,17,53,24.0
2012-01-03 14:53:00,19,50,29.0
2012-01-03 15:53:00,21,44,40.0
2012-01-03 16:53:00,16,48,28.0
2012-01-03 17:53:00,16,45,31.0
2012-01-03 18:53:00,16,44,32.0
2012-01-03 19:53:00,17,41,38.0
2012-01-03 20:53:00,15,42,33.0
2012-01-03 21:53:00,18,30,61.0
2012-01-03 22:53:00,18,30,61.0
2012-01-03 23:53:00,19,28,69.0
2012-01-04 00:53:00,19,30,64.0
2012-01-04 01:53:00,19,31,61.0
2012-01-04 02:53:00,17,24,75.0
2012-01-04 03:53:00,18,25,75.0
2012-01-04 04:53:00,17,25,72.0
2012-01-04 05:53:00,17,26,69.0
2012-01-04 06:53:00,14,33,45.0
2012-01-04 07:53:00,10,37,33.0
2012-01-04 08:53:00,11,41,29.0
2012-01-04 09:53:00,13,46,26.0
2012-01-04 10:53:00,15,51,24.0
2012-01-04 11:53:00,15,54,21.0
2012-01-04 12:53:00,14,58,18.0
2012-01-04 13:53:00,14,58,18.0
2012-01-04 14:53:00,20,58,23.0
2012-01-04 15:53:00,17,57,21.0
2012-01-04 16:53:00,23,46,40.0
2012-01-04 17:53:00,20,42,41.0
2012-01-04 18:53:00,15,45,30.0
2012-01-04 19:53:00,19,41,41.0
2012-01-04 20:53:00,19,41,41.0
2012-01-04 21:53:00,17,45,33.0
2012-01-04 22:53:00,16,45,31.0
2012-01-04 23:53:00,17,44,34.0
2012-01-05 00:53:00,18,43,37.0
2012-01-05 01:53:00,17,45,33.0
2012-01-05 02:53:00,17,45,33.0
2012-01-05 03:53:00,17,44,34.0
2012-01-05 04:53:00,18,42,38.0
2012-01-05 05:53:00,19,43,38.0
2012-01-05 06:53:00,19,42,40.0
2012-01-05 07:53:00,19,42,40.0
2012-01-05 08:53:00,20,47,34.0
2012-01-05 09:53:00,21,53,28.0
2012-01-05 10:53:00,23,56,28.0
2012-01-05 11:53:00,19,61,20.0
2012-01-05 12:53:00,21,63,20.0
2012-01-05 13:53:00,22,63,21.0
2012-01-05 14:53:00,20,64,18.0
2012-01-05 15:53:00,24,61,24.0
2012-01-05 16:53:00,17,55,22.0
2012-01-05 17:53:00,17,53,24.0
2012-01-05 18:53:00,21,47,36.0
2012-01-05 19:53:00,19,50,29.0
2012-01-05 20:53:00,18,48,30.0
2012-01-05 21:53:00,16,52,24.0
2012-01-05 22:53:00,20,41,43.0
2012-01-05 23:53:00,21,40,47.0
2012-01-06 00:53:00,20,43,40.0
2012-01-06 01:53:00,20,45,37.0
2012-01-06 02:53:00,21,44,40.0
2012-01-06 03:53:00,18,48,30.0
2012-01-06 04:53:00,19,44,37.0
2012-01-06 05:53:00,17,48,29.0
2012-01-06 06:53:00,20,42,41.0
2012-01-06 07:53:00,22,38,52.0
2012-01-06 08:53:00,24,35,64.0
2012-01-06 09:53:00,23,37,57.0
2012-01-06 10:53:00,22,38,52.0
2012-01-06 11:53:00,20,37,50.0
2012-01-06 12:53:00,20,38,48.0
2012-01-06 13:53:00,19,38,46.0
2012-01-06 14:53:00,19,37,48.0
2012-01-06 15:53:00,21,34,59.0
2012-01-06 16:53:00,21,32,64.0
2012-01-06 17:53:00,20,30,66.0
2012-01-06 18:53:00,19,26,75.0
2012-01-06 19:53:00,19,26,75.0
2012-01-06 20:53:00,18,24,77.0
2012-01-06 21:53:00,19,25,78.0
2012-01-06 22:53:00,20,29,69.0
2012-01-06 23:53:00,20,28,72.0
2012-01-07 00:53:00,21,27,78.0
2012-01-07 01:53:00,21,28,75.0
2012-01-07 02:53:00,21,29,72.0
2012-01-07 03:53:00,21,28,75.0
2012-01-07 04:53:00,21,25,85.0
2012-01-07 05:53:00,20,24,84.0
2012-01-07 06:53:00,20,23,88.0
2012-01-07 07:53:00,20,24,84.0
2012-01-07 08:53:00,21,29,72.0
2012-01-07 09:53:00,20,30,66.0
2012-01-07 10:53:00,20,33,58.0
2012-01-07 11:53:00,21,36,55.0
2012-01-07 12:53:00,22,37,54.0
2012-01-07 13:53:00,21,35,57.0
2012-01-07 14:53:00,22,34,61.0
2012-01-07 15:53:00,24,32,73.0
2012-01-07 16:53:00,26,31,82.0
2012-01-07 17:53:00,28,30,92.0
2012-01-07 18:53:00,28,31,89.0
2012-01-07 19:53:00,24,29,82.0
2012-01-07 20:53:00,20,29,69.0
2012-01-07 21:53:00,20,28,72.0
2012-01-07 22:53:00,18,25,75.0
2012-01-07 23:53:00,17,24,75.0
2012-01-08 00:53:00,15,19,84.0
2012-01-08 01:53:00,16,20,85.0
2012-01-08 02:53:00,15,19,84.0
2012-01-08 03:53:00,15,19,84.0
2012-01-08 04:53:00,15,19,84.0
2012-01-08 05:53:00,14,19,81.0
2012-01-08 06:53:00,13,18,81.0
2012-01-08 07:53:00,14,20,78.0
2012-01-08 08:53:00,16,23,74.0
2012-01-08 09:53:00,18,27,69.0
2012-01-08 10:53:00,20,30,66.0
2012-01-08 11:53:00,21,32,64.0
2012-01-08 12:53:00,19,34,54.0
2012-01-08 13:53:00,16,36,44.0
2012-01-08 14:53:00,15,36,42.0
2012-01-08 15:53:00,17,35,48.0
2012-01-08 16:53:00,19,32,59.0
2012-01-08 17:53:00,18,25,75.0
2012-01-08 18:53:00,11,26,53.0
2012-01-08 19:53:00,9,27,46.0
2012-01-08 20:53:00,12,25,58.0
2012-01-08 21:53:00,15,27,61.0
2012-01-08 22:53:00,16,27,63.0
2012-01-08 23:53:00,16,25,69.0
2012-01-09 00:53:00,15,26,63.0
2012-01-09 01:53:00,14,26,60.0
2012-01-09 02:53:00,13,26,57.0
2012-01-09 03:53:00,12,27,53.0
2012-01-09 04:53:00,12,24,60.0
2012-01-09 05:53:00,12,25,58.0
2012-01-09 06:53:00,12,26,55.0
2012-01-09 07:53:00,12,27,53.0
2012-01-09 08:53:00,14,33,45.0
2012-01-09 09:53:00,16,37,42.0
2012-01-09 10:53:00,18,41,39.0
2012-01-09 11:53:00,19,44,37.0
2012-01-09 12:53:00,20,47,34.0
2012-01-09 13:53:00,22,48,36.0
2012-01-09 14:53:00,22,48,36.0
2012-01-09 15:53:00,24,45,44.0
2012-01-09 16:53:00,24,39,55.0
2012-01-09 17:53:00,24,38,57.0
2012-01-09 18:53:00,25,37,62.0
2012-01-09 19:53:00,24,37,59.0
2012-01-09 20:53:00,24,36,62.0
2012-01-09 21:53:00,23,35,61.0
2012-01-09 22:53:00,23,36,59.0
2012-01-09 23:53:00,23,35,61.0
2012-01-10 00:53:00,23,36,59.0
2012-01-10 01:53:00,23,33,66.0
2012-01-10 02:53:00,23,34,64.0
2012-01-10 03:53:00,23,34,64.0
2012-01-10 04:53:00,22,34,61.0
2012-01-10 05:53:00,22,36,57.0
2012-01-10 06:53:00,22,36,57.0
2012-01-10 07:53:00,22,36,57.0
2012-01-10 08:53:00,23,41,49.0
2012-01-10 09:53:00,24,45,44.0
2012-01-10 10:53:00,26,50,39.0
2012-01-10 11:53:00,26,53,35.0
2012-01-10 12:53:00,27,57,32.0
2012-01-10 13:53:00,25,58,28.0
2012-01-10 14:53:00,21,59,23.0
2012-01-10 15:53:00,23,57,27.0
2012-01-10 16:53:00,22,51,32.0
2012-01-10 17:53:00,19,49,31.0
2012-01-10 18:53:00,20,48,33.0
2012-01-10 19:53:00,21,40,47.0
2012-01-10 20:53:00,14,47,26.0
2012-01-10 21:53:00,14,45,29.0
2012-01-10 22:53:00,7,49,18.0
2012-01-10 23:53:00,13,43,29.0
2012-01-11 00:53:00,17,38,43.0
2012-01-11 01:53:00,16,37,42.0
2012-01-11 02:53:00,25,32,75.0
2012-01-11 03:53:00,25,31,79.0
