DATE,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyRelativeHumidity
2014-01-01 00:53:00,10,14,84
2014-01-01 01:53:00,5,13,70
2014-01-01 02:53:00,5,12,73
2014-01-01 03:53:00,3,11,70
2014-01-01 04:53:00,2,11,67
2014-01-01 05:53:00,2,11,67
2014-01-01 06:53:00,2,10,69
2014-01-01 07:53:00,1,10,67
2014-01-01 08:53:00,0,9,66
2014-01-01 09:53:00,-1,10,61
2014-01-01 10:53:00,-1,11,58
2014-01-01 11:53:00,0,11,61
2014-01-01 12:53:00,3,11,70
2014-01-01 13:53:00,4,11,73
2014-01-01 14:53:00,5,11,77
2014-01-01 15:53:00,6,12,77
2014-01-01 16:53:00,6,12,77
2014-01-01 17:53:00,7,12,80
2014-01-01 18:53:00,7,11,84
2014-01-01 19:53:00,7,12,80
2014-01-01 20:51:00,8,12,84
2014-01-01 21:53:00,9,13,84
2014-01-01 22:53:00,10,14,84
2014-01-01 23:53:00,10,14,84
2014-01-02 00:53:00,9,14,80
2014-01-02 01:53:00,8,13,81
2014-01-02 02:49:00,7,13,77
2014-01-02 03:53:00,7,12,80
2014-01-02 04:53:00,6,12,77
2014-01-02 05:53:00,6,11,81
2014-01-02 06:53:00,5,11,77
2014-01-02 07:53:00,5,11,77
2014-01-02 08:53:00,5,10,80
2014-01-02 09:53:00,5,10,80
2014-01-02 10:53:00,5,11,77
2014-01-02 11:53:00,4,11,73
2014-01-02 12:53:00,6,13,74
2014-01-02 13:53:00,8,13,81
2014-01-02 14:53:00,7,13,77
2014-01-02 15:53:00,5,13,70
2014-01-02 16:53:00,5,11,77
2014-01-02 17:53:00,4,10,76
2014-01-02 18:53:00,3,10,73
2014-01-02 19:53:00,1,7,76
2014-01-02 20:53:00,-2,5,72
2014-01-02 21:53:00,-5,3,69
2014-01-02 22:53:00,-6,2,69
2014-01-02 23:53:00,-7,1,68
2014-01-03 00:53:00,-7,0,72
2014-01-03 01:53:00,-7,-1,75
2014-01-03 02:53:00,-8,-1,72
2014-01-03 03:53:00,-8,-3,79
2014-01-03 04:53:00,-8,-4,83
2014-01-03 05:53:00,-9,-4,79
2014-01-03 06:53:00,-9,-4,79
2014-01-03 07:53:00,-10,-5,79
2014-01-03 08:53:00,-9,-4,79
2014-01-03 09:53:00,-7,0,72
2014-01-03 10:53:00,-4,5,66
2014-01-03 11:53:00,-2,9,61
2014-01-03 12:53:00,-3,13,49
2014-01-03 13:53:00,-2,12,53
2014-01-03 14:53:00,-2,13,51
2014-01-03 15:53:00,-1,13,54
2014-01-03 16:53:00,-3,11,53
2014-01-03 17:53:00,-4,9,55
2014-01-03 18:53:00,-4,8,57
2014-01-03 19:53:00,-3,7,63
2014-01-03 20:53:00,-3,8,60
2014-01-03 21:53:00,-2,9,61
2014-01-03 22:53:00,-2,10,58
2014-01-03 23:53:00,-1,10,61
2014-01-04 00:53:00,-1,11,58
2014-01-04 01:53:00,1,11,64
2014-01-04 02:53:00,1,12,61
2014-01-04 03:53:00,1,12,61
2014-01-04 04:53:00,2,13,61
2014-01-04 05:53:00,3,13,64
2014-01-04 06:53:00,3,14,61
2014-01-04 07:53:00,4,14,64
2014-01-04 08:53:00,5,16,62
2014-01-04 09:53:00,6,18,59
2014-01-04 10:53:00,8,24,50
2014-01-04 11:53:00,9,25,50
2014-01-04 12:53:00,11,27,51
2014-01-04 13:53:00,12,28,51
2014-01-04 14:53:00,14,29,54
2014-01-04 15:53:00,15,30,54
2014-01-04 16:53:00,16,29,58
2014-01-04 17:53:00,16,28,60
2014-01-04 18:53:00,18,27,69
2014-01-04 19:53:00,22,25,88
2014-01-04 20:53:00,23,26,88
2014-01-04 21:53:00,23,26,88
2014-01-04 22:53:00,24,26,92
2014-01-04 23:53:00,24,26,92
2014-01-05 00:53:00,24,27,89
2014-01-05 01:53:00,25,27,92
2014-01-05 02:53:00,25,27,92
2014-01-05 03:53:00,25,27,92
2014-01-05 04:53:00,25,27,92
2014-01-05 05:53:00,24,26,92
2014-01-05 06:53:00,24,26,92
2014-01-05 07:53:00,24,26,92
2014-01-05 08:53:00,24,26,92
2014-01-05 09:53:00,24,27,89
2014-01-05 10:53:00,25,28,88
2014-01-05 11:53:00,25,28,88
2014-01-05 12:53:00,26,29,89
2014-01-05 13:53:00,26,29,89
2014-01-05 14:53:00,25,28,88
2014-01-05 15:53:00,25,28,88
2014-01-05 16:53:00,24,27,89
2014-01-05 17:53:00,25,27,92
2014-01-05 18:53:00,25,27,92
2014-01-05 19:53:00,23,26,88
2014-01-05 20:53:00,22,25,88
2014-01-05 21:53:00,21,24,88
2014-01-05 22:53:00,16,20,85
2014-01-05 23:53:00,14,19,81
2014-01-06 00:53:00,13,17,84
2014-01-06 01:53:00,12,16,84
2014-01-06 02:53:00,9,14,80
2014-01-06 03:53:00,7,12,80
2014-01-06 04:53:00,6,11,81
2014-01-06 05:53:00,4,10,76
2014-01-06 06:53:00,5,11,77
2014-01-06 07:53:00,5,11,77
