STATION,DATE,HourlyDryBulbTemperature,HourlyRelativeHumidity
CYUL:9:CA,2013-01-01T05:00:00Z,30,
CYUL:9:CA,2013-01-01T06:00:00Z,29,93
CYUL:9:CA,2013-01-01T07:00:00Z,28,80
CYUL:9:CA,2013-01-01T08:00:00Z,27,80
CYUL:9:CA,2013-01-01T09:00:00Z,21,63
CYUL:9:CA,2013-01-01T10:00:00Z,18,68
CYUL:9:CA,2013-01-01T11:00:00Z,14,67
CYUL:9:CA,2013-01-01T12:00:00Z,12,62
CYUL:9:CA,2013-01-01T13:00:00Z,10,67
CYUL:9:CA,2013-01-01T14:00:00Z,9,67
CYUL:9:CA,2013-01-01T15:00:00Z,9,73
CYUL:9:CA,2013-01-01T16:00:00Z,9,67
CYUL:9:CA,2013-01-01T17:00:00Z,10,62
CYUL:9:CA,2013-01-01T18:00:00Z,10,67
CYUL:9:CA,2013-01-01T19:00:00Z,12,62
CYUL:9:CA,2013-01-01T20:00:00Z,12,62
CYUL:9:CA,2013-01-01T21:00:00Z,12,57
CYUL:9:CA,2013-01-01T22:00:00Z,10,62
CYUL:9:CA,2013-01-01T23:00:00Z,9,67
CYUL:9:CA,2013-01-02T00:00:00Z,9,67
CYUL:9:CA,2013-01-02T01:00:00Z,7,67
CYUL:9:CA,2013-01-02T02:00:00Z,7,67
CYUL:9:CA,2013-01-02T03:00:00Z,5,72
CYUL:9:CA,2013-01-02T04:00:00Z,3,72
CYUL:9:CA,2013-01-02T05:00:00Z,5,66
CYUL:9:CA,2013-01-02T06:00:00Z,7,72
CYUL:9:CA,2013-01-02T07:00:00Z,7,72
CYUL:9:CA,2013-01-02T08:00:00Z,7,72
CYUL:9:CA,2013-01-02T09:00:00Z,5,78
CYUL:9:CA,2013-01-02T10:00:00Z,7,79
CYUL:9:CA,2013-01-02T11:00:00Z,7,79
CYUL:9:CA,2013-01-02T12:00:00Z,7,79
CYUL:9:CA,2013-01-02T13:00:00Z,5,78
CYUL:9:CA,2013-01-02T14:00:00Z,3,85
CYUL:9:CA,2013-01-02T15:00:00Z,5,78
CYUL:9:CA,2013-01-02T16:00:00Z,5,72
CYUL:9:CA,2013-01-02T17:00:00Z,5,66
CYUL:9:CA,2013-01-02T18:00:00Z,5.666666667,72
CYUL:9:CA,2013-01-02T19:00:00Z,5,72
CYUL:9:CA,2013-01-02T20:00:00Z,5,52
CYUL:9:CA,2013-01-02T21:00:00Z,3,51
CYUL:9:CA,2013-01-02T22:00:00Z,1,51
CYUL:9:CA,2013-01-02T23:00:00Z,0,55
CYUL:9:CA,2013-01-03T00:00:00Z,0,51
CYUL:9:CA,2013-01-03T01:00:00Z,-2,55
CYUL:9:CA,2013-01-03T02:00:00Z,-4,60
CYUL:9:CA,2013-01-03T03:00:00Z,-4,55
CYUL:9:CA,2013-01-03T04:00:00Z,-6,65
CYUL:9:CA,2013-01-03T05:00:00Z,-8,71
CYUL:9:CA,2013-01-03T06:00:00Z,-6,65
CYUL:9:CA,2013-01-03T07:00:00Z,-6,65
CYUL:9:CA,2013-01-03T08:00:00Z,-6,65
CYUL:9:CA,2013-01-03T09:00:00Z,-6,65
CYUL:9:CA,2013-01-03T10:00:00Z,-6,65
CYUL:9:CA,2013-01-03T11:00:00Z,-9,65
CYUL:9:CA,2013-01-03T12:00:00Z,-8,71
CYUL:9:CA,2013-01-03T13:00:00Z,-9,71
CYUL:9:CA,2013-01-03T14:00:00Z,-8,65
CYUL:9:CA,2013-01-03T15:00:00Z,-4,65
CYUL:9:CA,2013-01-03T16:00:00Z,0,55
CYUL:9:CA,2013-01-03T17:00:00Z,0,60
CYUL:9:CA,2013-01-03T18:00:00Z,0,60
CYUL:9:CA,2013-01-03T19:00:00Z,1,72
CYUL:9:CA,2013-01-03T20:00:00Z,3,61
CYUL:9:CA,2013-01-03T21:00:00Z,3,66
CYUL:9:CA,2013-01-03T22:00:00Z,3,66
CYUL:9:CA,2013-01-03T23:00:00Z,5,66
